id,inscription_date
625001,2020-05-10
625002,2020-03-15
625003,2020-01-27
625004,2020-01-12
625005,2020-03-30
625006,2020-02-17
625007,2020-02-29
625008,2020-03-21
625009,2020-04-09
625010,2020-05-01
625011,2020-03-30
625012,2020-06-15
625013,2020-03-17
625014,2020-03-10
625015,2020-05-15
625016,2020-04-28
625017,2020-03-29
625018,2020-04-12
625019,2020-04-29
625020,2020-04-10
625021,2020-06-25
625022,2020-02-05
625023,2020-02-29
625024,2020-04-09
625025,2020-02-22
625026,2020-03-20
625027,2020-06-03
625028,2020-03-20
625029,2020-06-15
625030,2020-01-15
625031,2020-02-25
625032,2020-06-07
625033,2020-02-25
625034,2020-01-17
625035,2020-04-15
625036,2020-04-09
625037,2020-04-02
625038,2020-02-24
625039,2020-03-06
625040,2020-02-24
625041,2020-06-29
625042,2020-03-01
625043,2020-01-08
625044,2020-02-20
625045,2020-03-24
625046,2020-01-01
625047,2020-03-07
625048,2020-04-10
625049,2020-04-22
625050,2020-05-13
625051,2020-05-14
625052,2020-01-14
625053,2020-01-19
625054,2020-03-17
625055,2020-03-03
625056,2020-01-24
625057,2020-04-25
625058,2020-06-04
625059,2020-03-21
625060,2020-06-16
625061,2020-03-30
625062,2020-04-13
625063,2020-01-06
625064,2020-04-21
625065,2020-06-21
625066,2020-01-06
625067,2020-05-20
625068,2020-05-02
625069,2020-03-12
625070,2020-04-09
625071,2020-01-06
625072,2020-03-24
625073,2020-06-09
625074,2020-06-28
625075,2020-05-26
625076,2020-01-26
625077,2020-02-20
625078,2020-01-21
625079,2020-05-28
625080,2020-04-10
625081,2020-04-11
625082,2020-04-22
625083,2020-01-25
625084,2020-06-20
625085,2020-01-30
625086,2020-02-25
625087,2020-02-18
625088,2020-02-19
625089,2020-03-15
625090,2020-03-02
625091,2020-05-18
625092,2020-01-21
625093,2020-06-02
625094,2020-02-23
625095,2020-05-26
625096,2020-01-06
625097,2020-05-09
625098,2020-05-10
625099,2020-02-29
625100,2020-03-30
625101,2020-04-06
625102,2020-04-02
625103,2020-01-16
625104,2020-02-08
625105,2020-04-14
625106,2020-01-21
625107,2020-05-10
625108,2020-04-22
625109,2020-05-16
625110,2020-01-24
625111,2020-03-24
625112,2020-04-02
625113,2020-02-23
625114,2020-02-25
625115,2020-01-30
625116,2020-01-22
625117,2020-05-07
625118,2020-05-25
625119,2020-06-27
625120,2020-06-27
625121,2020-05-24
625122,2020-03-05
625123,2020-03-06
625124,2020-02-21
625125,2020-04-27
625126,2020-05-20
625127,2020-03-30
625128,2020-04-08
625129,2020-01-28
625130,2020-05-06
625131,2020-03-30
625132,2020-04-01
625133,2020-01-22
625134,2020-01-07
625135,2020-05-20
625136,2020-04-21
625137,2020-03-20
625138,2020-06-24
625139,2020-05-12
625140,2020-03-27
625141,2020-01-23
625142,2020-06-20
625143,2020-01-17
625144,2020-02-20
625145,2020-04-17
625146,2020-06-17
625147,2020-04-05
625148,2020-03-16
625149,2020-02-14
625150,2020-04-06
625151,2020-03-10
625152,2020-04-08
625153,2020-03-22
625154,2020-06-03
625155,2020-06-02
625156,2020-01-28
625157,2020-06-25
625158,2020-03-27
625159,2020-06-24
625160,2020-01-17
625161,2020-05-03
625162,2020-02-24
625163,2020-05-20
625164,2020-05-19
625165,2020-03-23
625166,2020-03-29
625167,2020-04-07
625168,2020-01-04
625169,2020-05-21
625170,2020-01-29
625171,2020-04-24
625172,2020-02-09
625173,2020-03-10
625174,2020-03-16
625175,2020-01-01
625176,2020-04-20
625177,2020-01-21
625178,2020-06-10
625179,2020-03-07
625180,2020-02-02
625181,2020-02-09
625182,2020-01-08
625183,2020-05-06
625184,2020-01-24
625185,2020-03-30
625186,2020-01-06
625187,2020-04-19
625188,2020-03-27
625189,2020-01-04
625190,2020-06-10
625191,2020-05-21
625192,2020-01-30
625193,2020-05-28
625194,2020-06-13
625195,2020-05-18
625196,2020-01-29
625197,2020-04-20
625198,2020-05-01
625199,2020-04-17
625200,2020-05-12
625201,2020-06-12
625202,2020-05-06
625203,2020-06-29
625204,2020-04-24
625205,2020-03-01
625206,2020-04-21
625207,2020-02-12
625208,2020-06-07
625209,2020-04-02
625210,2020-03-06
625211,2020-06-05
625212,2020-04-05
625213,2020-06-02
625214,2020-04-25
625215,2020-05-07
625216,2020-04-17
625217,2020-05-25
625218,2020-04-11
625219,2020-05-14
625220,2020-02-23
625221,2020-06-07
625222,2020-01-19
625223,2020-02-14
625224,2020-05-17
625225,2020-03-14
625226,2020-03-31
625227,2020-03-04
625228,2020-03-03
625229,2020-03-07
625230,2020-02-07
625231,2020-03-19
625232,2020-03-13
625233,2020-01-02
625234,2020-04-12
625235,2020-03-05
625236,2020-03-01
625237,2020-05-01
625238,2020-05-05
625239,2020-02-02
625240,2020-03-23
625241,2020-02-19
625242,2020-03-30
625243,2020-03-18
625244,2020-05-17
625245,2020-06-22
625246,2020-04-24
625247,2020-05-03
625248,2020-06-19
625249,2020-06-16
625250,2020-02-08
625251,2020-06-13
625252,2020-04-23
625253,2020-02-07
625254,2020-05-21
625255,2020-01-28
625256,2020-03-05
625257,2020-02-07
625258,2020-02-24
625259,2020-05-19
625260,2020-01-31
625261,2020-03-14
625262,2020-01-09
625263,2020-06-29
625264,2020-02-20
625265,2020-06-30
625266,2020-04-02
625267,2020-03-01
625268,2020-05-05
625269,2020-03-12
625270,2020-03-11
625271,2020-01-29
625272,2020-05-23
625273,2020-01-13
625274,2020-06-13
625275,2020-04-15
625276,2020-04-11
625277,2020-02-19
625278,2020-05-13
625279,2020-05-04
625280,2020-06-13
625281,2020-03-22
625282,2020-01-14
625283,2020-02-19
625284,2020-05-11
625285,2020-03-04
625286,2020-06-23
625287,2020-01-06
625288,2020-01-28
625289,2020-03-07
625290,2020-03-07
625291,2020-02-04
625292,2020-06-14
625293,2020-06-10
625294,2020-03-20
625295,2020-04-22
625296,2020-04-10
625297,2020-05-16
625298,2020-03-05
625299,2020-02-24
625300,2020-02-14
625301,2020-06-15
625302,2020-03-30
625303,2020-01-06
625304,2020-04-17
625305,2020-06-22
625306,2020-05-16
625307,2020-06-11
625308,2020-06-20
625309,2020-01-28
625310,2020-01-14
625311,2020-03-06
625312,2020-03-21
625313,2020-02-02
625314,2020-03-05
625315,2020-03-16
625316,2020-01-21
625317,2020-06-10
625318,2020-01-25
625319,2020-01-01
625320,2020-06-29
625321,2020-06-29
625322,2020-03-08
625323,2020-04-16
625324,2020-03-23
625325,2020-02-10
625326,2020-02-10
625327,2020-02-01
625328,2020-02-19
625329,2020-06-09
625330,2020-01-01
625331,2020-02-02
625332,2020-01-17
625333,2020-02-15
625334,2020-03-12
625335,2020-05-22
625336,2020-03-05
625337,2020-04-17
625338,2020-03-26
625339,2020-05-28
625340,2020-02-28
625341,2020-04-19
625342,2020-01-19
625343,2020-05-12
625344,2020-06-05
625345,2020-06-26
625346,2020-03-08
625347,2020-01-19
625348,2020-02-01
625349,2020-04-24
625350,2020-03-17
625351,2020-06-04
625352,2020-01-28
625353,2020-04-23
625354,2020-04-30
625355,2020-03-03
625356,2020-04-28
625357,2020-06-20
625358,2020-01-02
625359,2020-05-18
625360,2020-03-03
625361,2020-02-02
625362,2020-06-27
625363,2020-03-13
625364,2020-02-20
625365,2020-01-06
625366,2020-04-18
625367,2020-02-22
625368,2020-01-04
625369,2020-03-03
625370,2020-03-18
625371,2020-02-19
625372,2020-06-26
625373,2020-04-08
625374,2020-04-05
625375,2020-05-12
625376,2020-06-07
625377,2020-03-05
625378,2020-04-27
625379,2020-06-27
625380,2020-06-26
625381,2020-01-01
625382,2020-01-14
625383,2020-02-09
625384,2020-02-09
625385,2020-05-23
625386,2020-02-03
625387,2020-01-17
625388,2020-03-12
625389,2020-01-22
625390,2020-04-06
625391,2020-06-21
625392,2020-04-24
625393,2020-06-01
625394,2020-05-03
625395,2020-04-30
625396,2020-02-17
625397,2020-05-04
625398,2020-03-02
625399,2020-03-27
625400,2020-05-05
625401,2020-01-03
625402,2020-04-05
625403,2020-06-04
625404,2020-03-24
625405,2020-05-31
625406,2020-05-25
625407,2020-02-05
625408,2020-04-27
625409,2020-03-22
625410,2020-03-03
625411,2020-03-22
625412,2020-02-20
625413,2020-06-18
625414,2020-06-17
625415,2020-01-28
625416,2020-03-25
625417,2020-05-04
625418,2020-01-21
625419,2020-05-01
625420,2020-02-20
625421,2020-02-25
625422,2020-02-12
625423,2020-06-26
625424,2020-05-16
625425,2020-06-17
625426,2020-02-04
625427,2020-02-22
625428,2020-01-13
625429,2020-01-16
625430,2020-05-25
625431,2020-01-25
625432,2020-02-16
625433,2020-05-20
625434,2020-02-14
625435,2020-03-26
625436,2020-01-26
625437,2020-06-26
625438,2020-02-03
625439,2020-01-23
625440,2020-04-10
625441,2020-03-30
625442,2020-01-31
625443,2020-03-20
625444,2020-04-05
625445,2020-04-06
625446,2020-03-14
625447,2020-03-22
625448,2020-03-08
625449,2020-03-07
625450,2020-02-25
625451,2020-04-25
625452,2020-01-10
625453,2020-01-30
625454,2020-05-28
625455,2020-01-26
625456,2020-04-16
625457,2020-02-27
625458,2020-02-25
625459,2020-04-30
625460,2020-01-25
625461,2020-04-14
625462,2020-06-25
625463,2020-01-29
625464,2020-06-28
625465,2020-06-02
625466,2020-05-07
625467,2020-05-21
625468,2020-05-17
625469,2020-06-06
625470,2020-06-05
625471,2020-01-16
625472,2020-06-04
625473,2020-04-08
625474,2020-02-02
625475,2020-06-15
625476,2020-03-20
625477,2020-05-17
625478,2020-06-05
625479,2020-06-02
625480,2020-05-11
625481,2020-06-05
625482,2020-05-26
625483,2020-06-01
625484,2020-05-22
625485,2020-06-06
625486,2020-04-21
625487,2020-03-26
625488,2020-01-26
625489,2020-05-06
625490,2020-06-10
625491,2020-06-23
625492,2020-02-29
625493,2020-06-26
625494,2020-04-17
625495,2020-05-17
625496,2020-04-26
625497,2020-03-26
625498,2020-06-17
625499,2020-04-20
625500,2020-05-04
625501,2020-06-14
625502,2020-03-05
625503,2020-02-09
625504,2020-04-29
625505,2020-06-16
625506,2020-05-14
625507,2020-04-05
625508,2020-04-23
625509,2020-01-08
625510,2020-01-07
625511,2020-01-17
625512,2020-03-25
625513,2020-06-01
625514,2020-03-19
625515,2020-05-15
625516,2020-05-27
625517,2020-02-20
625518,2020-02-27
625519,2020-04-26
625520,2020-05-25
625521,2020-02-01
625522,2020-02-03
625523,2020-03-25
625524,2020-04-12
625525,2020-06-05
625526,2020-04-07
625527,2020-03-31
625528,2020-06-18
625529,2020-03-15
625530,2020-06-20
625531,2020-02-16
625532,2020-01-06
625533,2020-04-19
625534,2020-01-30
625535,2020-04-21
625536,2020-03-15
625537,2020-01-16
625538,2020-06-21
625539,2020-06-06
625540,2020-02-06
625541,2020-01-20
625542,2020-02-06
625543,2020-01-09
625544,2020-01-01
625545,2020-03-11
625546,2020-03-18
625547,2020-05-22
625548,2020-06-14
625549,2020-03-24
625550,2020-01-24
625551,2020-03-04
625552,2020-04-18
625553,2020-03-01
625554,2020-04-20
625555,2020-03-11
625556,2020-02-04
625557,2020-01-14
625558,2020-04-17
625559,2020-04-28
625560,2020-03-28
625561,2020-03-26
625562,2020-04-22
625563,2020-03-21
625564,2020-01-14
625565,2020-03-10
625566,2020-03-19
625567,2020-05-16
625568,2020-02-06
625569,2020-06-08
625570,2020-01-08
625571,2020-03-01
625572,2020-01-25
625573,2020-02-09
625574,2020-04-03
625575,2020-05-17
625576,2020-04-04
625577,2020-01-18
625578,2020-03-18
625579,2020-02-28
625580,2020-02-12
625581,2020-02-04
625582,2020-06-19
625583,2020-03-23
625584,2020-05-06
625585,2020-03-11
625586,2020-05-24
625587,2020-01-30
625588,2020-05-22
625589,2020-02-28
625590,2020-05-27
625591,2020-03-26
625592,2020-02-26
625593,2020-01-07
625594,2020-06-04
625595,2020-05-18
625596,2020-05-05
625597,2020-01-05
625598,2020-03-01
625599,2020-02-07
625600,2020-04-08
625601,2020-06-05
625602,2020-02-21
625603,2020-06-26
625604,2020-02-22
625605,2020-01-17
625606,2020-06-11
625607,2020-02-26
625608,2020-01-11
625609,2020-04-20
625610,2020-03-22
625611,2020-03-15
625612,2020-01-29
625613,2020-03-10
625614,2020-03-31
625615,2020-01-19
625616,2020-03-15
625617,2020-04-11
625618,2020-06-16
625619,2020-01-06
625620,2020-04-01
625621,2020-03-31
625622,2020-04-29
625623,2020-04-16
625624,2020-04-11
625625,2020-04-21
625626,2020-05-15
625627,2020-05-28
625628,2020-04-08
625629,2020-01-18
625630,2020-06-07
625631,2020-06-02
625632,2020-04-18
625633,2020-03-24
625634,2020-05-04
625635,2020-03-08
625636,2020-02-15
625637,2020-04-08
625638,2020-02-23
625639,2020-04-18
625640,2020-05-04
625641,2020-01-16
625642,2020-02-25
625643,2020-06-15
625644,2020-02-15
625645,2020-03-08
625646,2020-05-24
625647,2020-02-06
625648,2020-06-01
625649,2020-04-22
625650,2020-03-10
625651,2020-02-13
625652,2020-05-17
625653,2020-01-21
625654,2020-05-08
625655,2020-01-17
625656,2020-06-26
625657,2020-02-11
625658,2020-04-11
625659,2020-01-19
625660,2020-06-01
625661,2020-01-22
625662,2020-02-23
625663,2020-01-12
625664,2020-03-12
625665,2020-02-17
625666,2020-01-30
625667,2020-06-05
625668,2020-01-25
625669,2020-05-28
625670,2020-03-26
625671,2020-01-12
625672,2020-06-17
625673,2020-06-05
625674,2020-04-27
625675,2020-03-17
625676,2020-01-02
625677,2020-02-01
625678,2020-04-13
625679,2020-01-22
625680,2020-06-28
625681,2020-03-28
625682,2020-05-31
625683,2020-02-05
625684,2020-01-06
625685,2020-01-01
625686,2020-05-05
625687,2020-03-11
625688,2020-04-24
625689,2020-06-10
625690,2020-05-24
625691,2020-01-20
625692,2020-02-24
625693,2020-05-08
625694,2020-01-10
625695,2020-02-13
625696,2020-02-12
625697,2020-05-15
625698,2020-04-20
625699,2020-04-17
625700,2020-01-21
625701,2020-05-05
625702,2020-02-06
625703,2020-03-25
625704,2020-06-29
625705,2020-02-19
625706,2020-05-14
625707,2020-03-05
625708,2020-05-23
625709,2020-04-13
625710,2020-03-02
625711,2020-02-11
625712,2020-01-03
625713,2020-06-27
625714,2020-01-14
625715,2020-04-28
625716,2020-05-26
625717,2020-05-24
625718,2020-02-11
625719,2020-04-24
625720,2020-02-28
625721,2020-06-18
625722,2020-02-26
625723,2020-05-02
625724,2020-02-29
625725,2020-06-09
625726,2020-03-21
625727,2020-06-10
625728,2020-01-12
625729,2020-02-14
625730,2020-02-15
625731,2020-02-26
625732,2020-04-27
625733,2020-06-20
625734,2020-02-29
625735,2020-03-08
625736,2020-06-27
625737,2020-05-27
625738,2020-03-21
625739,2020-06-09
625740,2020-01-30
625741,2020-01-29
625742,2020-04-17
625743,2020-06-04
625744,2020-01-29
625745,2020-01-23
625746,2020-03-26
625747,2020-06-15
625748,2020-06-12
625749,2020-01-29
625750,2020-01-12
625751,2020-03-07
625752,2020-03-19
625753,2020-01-02
625754,2020-04-25
625755,2020-05-24
625756,2020-03-21
625757,2020-03-01
625758,2020-01-18
625759,2020-05-06
625760,2020-06-27
625761,2020-05-02
625762,2020-06-30
625763,2020-06-22
625764,2020-06-03
625765,2020-01-27
625766,2020-03-22
625767,2020-01-26
625768,2020-02-13
625769,2020-01-28
625770,2020-06-24
625771,2020-04-28
625772,2020-04-14
625773,2020-06-10
625774,2020-02-10
625775,2020-04-13
625776,2020-05-02
625777,2020-03-23
625778,2020-03-17
625779,2020-01-28
625780,2020-02-07
625781,2020-02-24
625782,2020-04-29
625783,2020-01-20
625784,2020-03-07
625785,2020-04-12
625786,2020-05-21
625787,2020-04-12
625788,2020-01-17
625789,2020-05-13
625790,2020-04-16
625791,2020-03-13
625792,2020-02-10
625793,2020-03-27
625794,2020-04-30
625795,2020-03-21
625796,2020-01-19
625797,2020-01-06
625798,2020-04-04
625799,2020-04-19
625800,2020-02-01
625801,2020-06-26
625802,2020-03-25
625803,2020-02-04
625804,2020-01-26
625805,2020-02-02
625806,2020-01-24
625807,2020-01-05
625808,2020-01-31
625809,2020-04-26
625810,2020-04-02
625811,2020-06-22
625812,2020-03-19
625813,2020-02-28
625814,2020-05-14
625815,2020-05-04
625816,2020-04-12
625817,2020-03-11
625818,2020-05-09
625819,2020-06-25
625820,2020-03-16
625821,2020-01-09
625822,2020-06-22
625823,2020-05-31
625824,2020-02-21
625825,2020-03-11
625826,2020-04-02
625827,2020-02-27
625828,2020-06-27
625829,2020-04-13
625830,2020-05-20
625831,2020-05-04
625832,2020-04-20
625833,2020-03-12
625834,2020-02-17
625835,2020-01-09
625836,2020-01-24
625837,2020-03-24
625838,2020-05-28
625839,2020-02-01
625840,2020-05-29
625841,2020-03-15
625842,2020-05-11
625843,2020-01-21
625844,2020-03-02
625845,2020-04-23
625846,2020-06-20
625847,2020-06-03
625848,2020-06-13
625849,2020-06-12
625850,2020-03-25
625851,2020-04-08
625852,2020-06-19
625853,2020-06-04
625854,2020-05-30
625855,2020-05-26
625856,2020-05-31
625857,2020-02-06
625858,2020-05-29
625859,2020-02-18
625860,2020-06-06
625861,2020-03-21
625862,2020-04-15
625863,2020-05-08
625864,2020-05-04
625865,2020-01-25
625866,2020-06-17
625867,2020-05-06
625868,2020-06-04
625869,2020-02-13
625870,2020-06-07
625871,2020-05-21
625872,2020-02-29
625873,2020-02-25
625874,2020-02-10
625875,2020-06-13
625876,2020-02-21
625877,2020-02-08
625878,2020-05-22
625879,2020-01-21
625880,2020-03-11
625881,2020-05-15
625882,2020-04-11
625883,2020-04-02
625884,2020-05-16
625885,2020-01-19
625886,2020-06-13
625887,2020-02-17
625888,2020-05-16
625889,2020-02-27
625890,2020-04-12
625891,2020-06-28
625892,2020-02-05
625893,2020-03-22
625894,2020-04-03
625895,2020-04-02
625896,2020-05-05
625897,2020-01-16
625898,2020-06-13
625899,2020-03-14
625900,2020-06-02
625901,2020-04-21
625902,2020-06-29
625903,2020-02-11
625904,2020-02-16
625905,2020-04-15
625906,2020-03-08
625907,2020-06-14
625908,2020-06-08
625909,2020-05-15
625910,2020-04-08
625911,2020-01-22
625912,2020-06-03
625913,2020-04-28
625914,2020-04-08
625915,2020-04-05
625916,2020-03-23
625917,2020-05-14
625918,2020-02-28
625919,2020-04-17
625920,2020-01-07
625921,2020-01-07
625922,2020-05-05
625923,2020-01-07
625924,2020-02-27
625925,2020-01-23
625926,2020-06-25
625927,2020-02-05
625928,2020-05-04
625929,2020-06-25
625930,2020-03-24
625931,2020-01-19
625932,2020-04-10
625933,2020-04-05
625934,2020-05-30
625935,2020-06-02
625936,2020-06-17
625937,2020-02-05
625938,2020-04-08
625939,2020-06-28
625940,2020-02-04
625941,2020-02-28
625942,2020-02-14
625943,2020-02-14
625944,2020-02-19
625945,2020-06-12
625946,2020-01-06
625947,2020-04-10
625948,2020-02-05
625949,2020-04-16
625950,2020-05-03
625951,2020-02-15
625952,2020-05-07
625953,2020-02-29
625954,2020-02-26
625955,2020-03-18
625956,2020-05-28
625957,2020-05-06
625958,2020-04-28
625959,2020-03-21
625960,2020-06-18
625961,2020-02-13
625962,2020-06-26
625963,2020-03-14
625964,2020-03-31
625965,2020-04-10
625966,2020-03-14
625967,2020-04-30
625968,2020-02-04
625969,2020-04-03
625970,2020-03-13
625971,2020-04-16
625972,2020-01-31
625973,2020-03-08
625974,2020-06-27
625975,2020-04-27
625976,2020-02-07
625977,2020-03-02
625978,2020-03-21
625979,2020-01-16
625980,2020-04-28
625981,2020-02-24
625982,2020-01-22
625983,2020-02-08
625984,2020-06-05
625985,2020-06-15
625986,2020-01-31
625987,2020-06-17
625988,2020-04-07
625989,2020-05-02
625990,2020-05-01
625991,2020-01-18
625992,2020-02-12
625993,2020-04-28
625994,2020-06-20
625995,2020-04-11
625996,2020-01-12
625997,2020-02-29
625998,2020-06-22
625999,2020-05-20
626000,2020-02-18
626001,2020-05-11
626002,2020-02-03
626003,2020-06-10
626004,2020-06-01
626005,2020-01-25
626006,2020-01-10
626007,2020-01-01
626008,2020-05-18
626009,2020-01-26
626010,2020-04-26
626011,2020-03-06
626012,2020-06-30
626013,2020-05-04
626014,2020-02-07
626015,2020-05-31
626016,2020-01-30
626017,2020-06-07
626018,2020-02-01
626019,2020-03-24
626020,2020-02-25
626021,2020-02-06
626022,2020-06-04
626023,2020-02-04
626024,2020-01-28
626025,2020-01-31
626026,2020-04-17
626027,2020-04-28
626028,2020-01-14
626029,2020-02-04
626030,2020-05-29
626031,2020-02-02
626032,2020-01-07
626033,2020-03-15
626034,2020-02-17
626035,2020-02-23
626036,2020-02-18
626037,2020-04-15
626038,2020-04-16
626039,2020-03-11
626040,2020-04-14
626041,2020-06-11
626042,2020-05-31
626043,2020-01-21
626044,2020-04-15
626045,2020-06-24
626046,2020-05-02
626047,2020-03-20
626048,2020-06-11
626049,2020-04-21
626050,2020-02-01
626051,2020-01-28
626052,2020-06-08
626053,2020-04-13
626054,2020-01-21
626055,2020-01-03
626056,2020-01-19
626057,2020-06-15
626058,2020-06-04
626059,2020-02-05
626060,2020-05-02
626061,2020-05-07
626062,2020-02-26
626063,2020-02-09
626064,2020-06-15
626065,2020-04-28
626066,2020-05-30
626067,2020-03-09
626068,2020-02-10
626069,2020-03-12
626070,2020-01-22
626071,2020-06-16
626072,2020-01-14
626073,2020-05-28
626074,2020-04-15
626075,2020-06-11
626076,2020-01-16
626077,2020-04-02
626078,2020-06-13
626079,2020-03-18
626080,2020-02-27
626081,2020-02-04
626082,2020-01-30
626083,2020-05-14
626084,2020-04-15
626085,2020-05-31
626086,2020-02-06
626087,2020-04-06
626088,2020-02-27
626089,2020-02-14
626090,2020-05-15
626091,2020-06-21
626092,2020-02-17
626093,2020-04-15
626094,2020-04-09
626095,2020-04-24
626096,2020-02-20
626097,2020-01-23
626098,2020-01-14
626099,2020-05-27
626100,2020-06-05
626101,2020-02-14
626102,2020-05-17
626103,2020-02-10
626104,2020-01-15
626105,2020-02-03
626106,2020-06-06
626107,2020-02-14
626108,2020-04-13
626109,2020-03-21
626110,2020-01-05
626111,2020-06-15
626112,2020-04-16
626113,2020-03-20
626114,2020-02-07
626115,2020-06-26
