id,inscription_date
375001,2020-05-03
375002,2020-04-25
375003,2020-01-19
375004,2020-02-29
375005,2020-01-11
375006,2020-06-24
375007,2020-02-03
375008,2020-05-24
375009,2020-06-08
375010,2020-06-16
375011,2020-05-04
375012,2020-02-08
375013,2020-02-11
375014,2020-03-13
375015,2020-04-11
375016,2020-01-22
375017,2020-02-03
375018,2020-02-19
375019,2020-02-16
375020,2020-01-15
375021,2020-02-24
375022,2020-02-23
375023,2020-02-23
375024,2020-01-18
375025,2020-03-20
375026,2020-03-09
375027,2020-02-11
375028,2020-06-22
375029,2020-02-29
375030,2020-04-07
375031,2020-04-02
375032,2020-02-05
375033,2020-03-04
375034,2020-03-14
375035,2020-03-11
375036,2020-03-21
375037,2020-06-17
375038,2020-04-07
375039,2020-06-03
375040,2020-03-18
375041,2020-06-23
375042,2020-06-01
375043,2020-02-08
375044,2020-04-13
375045,2020-06-20
375046,2020-03-10
375047,2020-06-18
375048,2020-02-05
375049,2020-01-16
375050,2020-05-08
375051,2020-02-29
375052,2020-01-05
375053,2020-01-10
375054,2020-04-20
375055,2020-04-09
375056,2020-06-29
375057,2020-06-26
375058,2020-06-01
375059,2020-01-01
375060,2020-01-26
375061,2020-06-08
375062,2020-01-17
375063,2020-01-04
375064,2020-01-26
375065,2020-05-04
375066,2020-06-08
375067,2020-01-01
375068,2020-04-02
375069,2020-02-19
375070,2020-02-15
375071,2020-06-14
375072,2020-02-11
375073,2020-05-07
375074,2020-05-25
375075,2020-05-24
375076,2020-05-23
375077,2020-04-02
375078,2020-04-03
375079,2020-03-08
375080,2020-01-02
375081,2020-03-08
375082,2020-02-14
375083,2020-01-23
375084,2020-05-06
375085,2020-01-26
375086,2020-02-28
375087,2020-05-11
375088,2020-01-21
375089,2020-01-02
375090,2020-05-29
375091,2020-02-06
375092,2020-06-30
375093,2020-06-15
375094,2020-06-06
375095,2020-03-14
375096,2020-01-11
375097,2020-03-05
375098,2020-01-24
375099,2020-05-10
375100,2020-06-08
375101,2020-03-15
375102,2020-06-28
375103,2020-02-25
375104,2020-03-06
375105,2020-03-27
375106,2020-05-26
375107,2020-02-22
375108,2020-05-19
375109,2020-01-08
375110,2020-04-19
375111,2020-02-05
375112,2020-03-14
375113,2020-06-25
375114,2020-03-02
375115,2020-04-09
375116,2020-05-01
375117,2020-02-28
375118,2020-05-05
375119,2020-01-20
375120,2020-05-14
375121,2020-04-20
375122,2020-03-16
375123,2020-05-16
375124,2020-02-18
375125,2020-06-28
375126,2020-05-23
375127,2020-06-07
375128,2020-03-19
375129,2020-06-24
375130,2020-03-04
375131,2020-02-25
375132,2020-04-24
375133,2020-06-17
375134,2020-05-03
375135,2020-05-09
375136,2020-05-15
375137,2020-01-30
375138,2020-03-31
375139,2020-05-02
375140,2020-04-14
375141,2020-01-23
375142,2020-04-21
375143,2020-01-04
375144,2020-03-20
375145,2020-05-08
375146,2020-06-01
375147,2020-05-19
375148,2020-06-07
375149,2020-03-22
375150,2020-02-24
375151,2020-03-19
375152,2020-02-10
375153,2020-05-20
375154,2020-06-03
375155,2020-01-26
375156,2020-04-16
375157,2020-06-29
375158,2020-04-11
375159,2020-02-05
375160,2020-03-10
375161,2020-02-01
375162,2020-01-15
375163,2020-05-23
